source_file,n_participants,n_responses,n_unique_words,mean_total_correct,mean_switches,mean_n_clusters
HC_Cleaned_Responses_Animals.csv,25,394,118,15.76,14.76,0.0
HC_Cleaned_Responses_Food.csv,25,418,139,16.72,15.72,0.0
HC_Cleaned_Responses_jobs.csv,22,181,81,8.227272727272727,7.2272727272727275,0.0
SeLECTS_Cleaned_Responses_Animals.csv,25,328,91,13.12,12.12,0.0
SeLECTS_Cleaned_Responses_Food.csv,25,310,119,12.4,11.4,0.0
SeLECTS_Cleaned_Responses_jobs.csv,22,182,70,8.272727272727273,7.2727272727272725,0.0
